Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639b3f25bec16095377eab7f,57e1ba44011c350001354aef,APPROVED,2022-12-15T15:37:22.360000Z,2022-12-15T15:42:00.186000Z,2022-12-15T15:58:47.173000,2022-12-15T15:42:00.615744Z,278,C177C1KX,552,English,64,Female,White,Canada,Canada,Canada,English,No,Full-Time
639b3f79a021d776a1269409,60d8f1c24c86aa4d0b23bf4e,APPROVED,2022-12-15T15:38:36.218000Z,2022-12-15T15:40:48.544000Z,2022-12-15T15:58:47.293000,2022-12-15T15:40:48.954741Z,133,C177C1KX,204,English,34,Female,White,Canada,Canada,Canada,English,No,Full-Time
639b3f86a7e2605da8e93890,5c2826f3065b1800015d1f42,APPROVED,2022-12-15T15:38:50.898000Z,2022-12-15T15:40:52.631000Z,2022-12-15T15:58:47.408000,2022-12-15T15:40:53.004548Z,122,C177C1KX,1294,English,35,Female,White,United States,United States,United States,English,No,Part-Time
639b3fb3cf5ac261a2455cd3,6099911160f3e9d0d94b18e8,APPROVED,2022-12-15T15:39:41.236000Z,2022-12-15T15:45:57.633000Z,2022-12-15T15:58:47.525000,2022-12-15T15:45:58.430338Z,377,C177C1KX,277,English,39,Female,Black,Zimbabwe,South Africa,South Africa,English,No,Full-Time
639b400c24570028c642622c,5ec967ac9020ae477aee23af,APPROVED,2022-12-15T15:41:06.776000Z,2022-12-15T15:43:38.395000Z,2022-12-15T15:58:47.644000,2022-12-15T15:43:38.766661Z,152,C177C1KX,288,English,20,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
639b403b4201ed2288591303,5d0a345d8d7a4b000172fb93,APPROVED,2022-12-15T15:41:51.648000Z,2022-12-15T15:45:30.169000Z,2022-12-15T15:58:47.760000,2022-12-15T15:45:30.651344Z,219,C177C1KX,860,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
639b404b6b6f586adc6b8775,56e6f0dec89073000de74780,APPROVED,2022-12-15T15:42:10.584000Z,2022-12-15T15:46:30.666000Z,2022-12-15T15:58:47.875000,2022-12-15T15:46:31.088730Z,261,C177C1KX,647,English,31,Female,White,Ireland,Sweden,Ireland,English,Yes,DATA_EXPIRED
639b44cd9d03053fb8f31901,6132542039ead71f30971bd6,APPROVED,2022-12-15T16:01:19.712000Z,2022-12-15T16:10:05.393000Z,2022-12-15T20:11:34.310000,2022-12-15T16:10:05.859730Z,526,C177C1KX,3350,English,42,Male,White,United States,United States,United States,English,No,Full-Time
639b45024c7d1791db70f18a,5eb35d8af0431115bf8876bd,APPROVED,2022-12-15T16:02:15.302000Z,2022-12-15T16:04:50.248000Z,2022-12-15T20:11:39.333000,2022-12-15T16:04:50.804422Z,155,C177C1KX,81,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
639b451576325fb8c1bd7ee4,60febe3fc3279f09e99a55a5,APPROVED,2022-12-15T16:02:33.503000Z,2022-12-15T16:04:46.161000Z,2022-12-15T20:11:39.442000,2022-12-15T16:04:46.594460Z,133,C177C1KX,107,English,29,Female,White,Canada,Canada,Canada,English,No,Full-Time
639b4517a6eb1dc09312e7ab,6115e0d61efe01b04db0ab53,APPROVED,2022-12-15T16:02:37.360000Z,2022-12-15T16:04:21.376000Z,2022-12-15T20:11:39.555000,2022-12-15T16:04:21.821122Z,105,C177C1KX,166,English,22,Female,Other,Canada,Canada,Canada,English,No,Part-Time
639b4541c6bbe119ccecbcf8,5821198a8b13670001ea8048,APPROVED,2022-12-15T16:03:18.670000Z,2022-12-15T16:07:46.925000Z,2022-12-15T20:11:39.664000,2022-12-15T16:07:47.308331Z,269,C177C1KX,411,English,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639b45cc57f35274ec42624f,569a0ecb25d9e90006b0900f,APPROVED,2022-12-15T16:05:35.101000Z,2022-12-15T16:11:03.954000Z,2022-12-15T20:11:39.771000,2022-12-15T16:11:04.434770Z,329,C177C1KX,533,English,42,Female,White,United States,United States,United States,English,No,Other
639b45faeb08d6170bafd9a2,5e0f99e67dd4776bf69aa82f,APPROVED,2022-12-15T16:06:25.273000Z,2022-12-15T16:13:26.858000Z,2022-12-15T20:11:39.878000,2022-12-15T16:13:27.251432Z,422,C177C1KX,547,English,47,Female,Black,Tanzania,United Kingdom,United Kingdom,English,No,Full-Time
639b466b5ae68f531377a68d,5d3df84e807d3500014e3496,APPROVED,2022-12-15T16:08:16.051000Z,2022-12-15T16:11:44.001000Z,2022-12-15T20:11:39.997000,2022-12-15T16:11:44.418921Z,208,C177C1KX,540,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
639b466bee9635d0947eabc6,5f973a30ff83410e76a91c16,APPROVED,2022-12-15T16:08:18.540000Z,2022-12-15T16:10:57.810000Z,2022-12-15T20:11:40.105000,2022-12-15T16:10:58.420321Z,160,C177C1KX,143,English,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
639b4687f43a4d7deb1282cf,5ff3aa64c39215a21a2ab85b,APPROVED,2022-12-15T16:08:42.730000Z,2022-12-15T16:15:07.668000Z,2022-12-15T20:11:40.228000,2022-12-15T16:15:08.053322Z,385,C177C1KX,161,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
639b46d7c1bdc70f01cb935a,5f3fad86c15d910261828ca9,APPROVED,2022-12-15T16:10:02.938000Z,2022-12-15T16:15:16.541000Z,2022-12-15T20:11:40.353000,2022-12-15T16:15:17.203661Z,314,C177C1KX,147,"Chinese, English",19,Female,Asian,China,United Kingdom,China,English,Yes,Other
639b60182357a61e33ba68a8,5e8b89d0afcb1606e761ef7f,APPROVED,2022-12-15T17:57:44.287000Z,2022-12-15T18:00:14.824000Z,2022-12-15T20:11:34.424000,2022-12-15T18:00:15.238325Z,151,C177C1KX,3169,English,33,Male,White,United States,United States,United States,English,No,Full-Time
639b601a1224e411e7da4ea3,6012e262527c380ccb2a6c74,APPROVED,2022-12-15T17:57:48.894000Z,2022-12-15T18:01:01.528000Z,2022-12-15T20:11:34.529000,2022-12-15T18:01:09.338273Z,193,C177C1KX,2201,English,DATA_EXPIRED,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
639b601ce7a1959e51daad1d,58642f4de16d530001b34622,APPROVED,2022-12-15T18:00:13.615000Z,2022-12-15T18:03:01.504000Z,2022-12-15T20:11:34.637000,2022-12-15T18:03:01.957049Z,168,C177C1KX,3801,English,63,Male,White,United States,United States,United States,English,No,Full-Time
639b601d6b869ad086317e9d,55d35447da14d7000e95318f,APPROVED,2022-12-15T17:57:52.642000Z,2022-12-15T18:02:20.915000Z,2022-12-15T20:11:34.743000,2022-12-15T18:02:24.806778Z,269,C177C1KX,2323,English,34,Male,White,United States,United States,United States,English,No,Full-Time
639b601d9ce2063ca81282d8,62ef104b5e9352c2ead31fde,APPROVED,2022-12-15T17:57:53.567000Z,2022-12-15T18:04:16.446000Z,2022-12-15T20:11:34.849000,2022-12-15T18:04:17.034637Z,383,C177C1KX,899,English,58,Male,White,United States,United States,United States,English,No,Full-Time
639b6024db3eb5f671190cad,5b9845dfae52a00001482c02,APPROVED,2022-12-15T17:57:56.125000Z,2022-12-15T18:08:18.160000Z,2022-12-15T20:11:34.950000,2022-12-15T18:08:18.589029Z,623,C177C1KX,4066,English,37,Male,White,United States,United States,United States,English,No,Full-Time
