#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=36619 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:43 out:43 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:130908 mv:1514 misc:3626 imb:30 pmb:2150 smb:1420 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:136469 mv:1557 misc:3582 imb:46 pmb:2139 smb:1415 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:134696 mv:1378 misc:3630 imb:30 pmb:2154 smb:1416 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:135876 mv:1609 misc:3627 imb:49 pmb:2149 smb:1402 d:- ref:0 ;
in:48 out:47 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:144963 mv:1655 misc:3566 imb:59 pmb:2161 smb:1380 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:0.00 aq:0.10 tex:114367 mv:1905 misc:3592 imb:15 pmb:2100 smb:1485 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:136180 mv:1534 misc:3574 imb:43 pmb:2147 smb:1410 d:- ref:0 ;
in:51 out:50 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:165694 mv:1762 misc:3560 imb:65 pmb:2205 smb:1330 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:0.00 aq:0.08 tex:120606 mv:2251 misc:3567 imb:12 pmb:2183 smb:1405 d:- ref:0 ;
in:53 out:52 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:154497 mv:1796 misc:3555 imb:64 pmb:2202 smb:1334 d:- ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:0.00 aq:0.07 tex:120401 mv:2088 misc:3583 imb:17 pmb:2167 smb:1416 d:- ref:0 ;
in:55 out:54 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:1269715 mv:4075 misc:666 imb:511 pmb:2997 smb:92 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:0.00 aq:0.07 tex:218285 mv:1407 misc:2644 imb:34 pmb:2801 smb:765 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:222595 mv:1627 misc:2594 imb:42 pmb:2836 smb:722 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:117730 mv:1675 misc:3571 imb:39 pmb:2021 smb:1540 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:114916 mv:1666 misc:3634 imb:33 pmb:1942 smb:1625 d:- ref:0 ;
in:61 out:59 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:131147 mv:1864 misc:3637 imb:102 pmb:1921 smb:1577 d:- ref:0 ;
in:59 out:60 type:B dur:2 cpbdur:2 q:0.00 aq:0.01 tex:109420 mv:1700 misc:3656 imb:24 pmb:1953 smb:1623 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:0.00 aq:0.05 tex:101804 mv:1726 misc:3630 imb:17 pmb:1929 smb:1654 d:- ref:0 ;
in:64 out:62 type:P dur:2 cpbdur:2 q:0.00 aq:0.03 tex:186165 mv:2643 misc:3608 imb:102 pmb:1992 smb:1506 d:- ref:0 ;
in:62 out:63 type:B dur:2 cpbdur:2 q:0.00 aq:0.01 tex:107209 mv:1679 misc:3648 imb:10 pmb:1970 smb:1620 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:0.00 aq:0.05 tex:102485 mv:1773 misc:3638 imb:13 pmb:1953 smb:1634 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:0.00 aq:0.52 tex:450261 mv:4548 misc:3119 imb:238 pmb:1360 smb:2002 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:0.00 aq:0.12 tex:333902 mv:5302 misc:3524 imb:72 pmb:2016 smb:1512 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:0.00 aq:0.14 tex:239451 mv:4612 misc:3577 imb:44 pmb:1992 smb:1564 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:0.00 aq:0.17 tex:320466 mv:6138 misc:3532 imb:31 pmb:2053 smb:1516 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:0.00 aq:0.20 tex:1810397 mv:10408 misc:363 imb:942 pmb:2648 smb:10 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:0.00 aq:0.18 tex:548029 mv:8661 misc:3446 imb:102 pmb:2065 smb:1433 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:0.00 aq:0.26 tex:401184 mv:7563 misc:3485 imb:32 pmb:2069 smb:1499 d:- ref:0 ;
